,State_Name,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,Crop
0,andhra pradesh,120,40,20,5.46,654.34,29.26666667,7300,9400,cotton
1,andhra pradesh,20,60,20,6.18,654.34,29.26666667,3300,1000,horsegram
2,andhra pradesh,80,40,40,5.42,654.34,29.26666667,10100,10200,jowar
3,andhra pradesh,80,40,20,5.62,654.34,29.26666667,2800,4900,maize
4,andhra pradesh,20,40,20,5.68,654.34,29.26666667,1300,500,moong
5,andhra pradesh,50,40,20,5.64,654.34,29.26666667,6700,11800,ragi
6,andhra pradesh,80,40,40,5.54,654.34,29.26666667,35600,75400,rice
7,andhra pradesh,50,60,30,5.36,654.34,29.26666667,35900,11100,sunflower
8,andhra pradesh,20,60,20,6,288.3,25.46,600,200,horsegram
9,andhra pradesh,80,40,40,5.5,288.3,25.46,18800,9400,jowar
10,andhra pradesh,80,40,20,5.54,288.3,25.46,600,2400,maize
11,andhra pradesh,50,40,20,5.6,288.3,25.46,600,1000,ragi
12,andhra pradesh,80,40,40,5.54,288.3,25.46,18000,37300,rice
13,andhra pradesh,50,60,30,5.32,288.3,25.46,30100,11100,sunflower
14,andhra pradesh,60,30,30,6.4,288.3,25.46,300,200,wheat
15,andhra pradesh,20,60,20,5.98,654.34,29.26666667,3100,2000,horsegram
16,andhra pradesh,80,40,40,5.4,654.34,29.26666667,2400,1500,jowar
17,andhra pradesh,80,40,20,5.5,654.34,29.26666667,100,300,maize
18,andhra pradesh,20,40,20,5.5,654.34,29.26666667,200,100,moong
19,andhra pradesh,50,40,20,5.64,654.34,29.26666667,10800,9900,ragi
20,andhra pradesh,80,40,40,5.5,654.34,29.26666667,42300,84400,rice
21,andhra pradesh,30,15,30,6.4,654.34,29.26666667,400,100,sesamum
22,andhra pradesh,50,60,30,5.62,654.34,29.26666667,1300,600,sunflower
23,andhra pradesh,20,60,20,5.9,288.3,25.46,1200,400,horsegram
24,andhra pradesh,50,40,20,5.32,288.3,25.46,1600,2300,ragi
25,andhra pradesh,80,40,40,5.4,288.3,25.46,57400,137400,rice
26,andhra pradesh,50,60,30,5.48,288.3,25.46,900,400,sunflower
27,andhra pradesh,120,40,20,5.64,654.34,29.26666667,9800,23400,cotton
